"","populism","inclusion","exclusion","low_pride","high_pride","auth"
"populism",1,-0.0294533045873436,0.367337045079196,0.502141138951043,-0.222646274015435,0.266849728346376
"inclusion",-0.0294533045873436,1,0.378526856335993,0.106395432344607,0.202711665942092,0.230960734963868
"exclusion",0.367337045079196,0.378526856335993,1,0.293456311553834,0.0415498561185263,0.667196363147271
"low_pride",0.502141138951043,0.106395432344607,0.293456311553834,1,-0.140667840440656,0.0481871627103684
"high_pride",-0.222646274015435,0.202711665942092,0.0415498561185263,-0.140667840440656,1,0.105521640002237
"auth",0.266849728346376,0.230960734963868,0.667196363147271,0.0481871627103684,0.105521640002237,1
