"","populism","inclusion","exclusion","low_pride","high_pride","auth"
"populism",1,0.00437883655723574,0.361484030138248,0.481617074438421,0.0824510908421672,0.283090487357301
"inclusion",0.00437883655723574,1,0.66440786908292,0.419830834918,0.475712969165473,0.596541350772297
"exclusion",0.361484030138248,0.66440786908292,1,0.239751794214656,0.25988135734315,0.626648608880715
"low_pride",0.481617074438421,0.419830834918,0.239751794214656,1,0.777551692308029,0.146308383573272
"high_pride",0.0824510908421672,0.475712969165473,0.25988135734315,0.777551692308029,1,0.215615948109174
"auth",0.283090487357301,0.596541350772297,0.626648608880715,0.146308383573272,0.215615948109174,1
