"","populism","inclusion","exclusion","low_pride","high_pride","auth"
"populism",1,-0.181605421691015,0.493470005827343,0.588232110279376,-0.482294928600321,0.137428947218482
"inclusion",-0.181605421691015,1,0.0459487168563479,-0.00887380416671983,-0.0740684493245076,-0.07980202558407
"exclusion",0.493470005827343,0.0459487168563479,1,0.361794883352712,-0.267065080778002,0.467285027159437
"low_pride",0.588232110279376,-0.00887380416671983,0.361794883352712,1,-0.406382089235554,-0.0440056069019977
"high_pride",-0.482294928600321,-0.0740684493245076,-0.267065080778002,-0.406382089235554,1,0.018226265158123
"auth",0.137428947218482,-0.07980202558407,0.467285027159437,-0.0440056069019977,0.018226265158123,1
