"","populism_dem","populism_rep","inclusion_dem","inclusion_rep","exclusion_dem","exclusion_rep","low_pride_dem","low_pride_rep","high_pride_dem","high_pride_rep","auth_dem","auth_rep"
"populism_dem",1,0.0942645334521946,-0.464739178244642,-0.273046306380865,0.0286109397377764,-0.0937879844558058,0.452554144299225,-0.0913004096044912,-0.137286159628015,0.205519250853682,0.202463430625451,-0.0454121782845006
"populism_rep",0.0942645334521946,1,0.214692923611441,0.309406483667491,0.332489331811431,0.588516754451595,-0.0816560676156337,0.545698489358987,0.289054684501609,-0.299475931514271,0.19813080176965,0.419670849274475
"inclusion_dem",-0.464739178244642,0.214692923611441,1,0.490211262371173,0.245709447479258,0.491570012385577,-0.170032494890301,0.601164127945423,0.488665866058079,0.0743097323405124,0.122897197876101,0.44272954187818
"inclusion_rep",-0.273046306380865,0.309406483667491,0.490211262371173,1,0.241710563193295,0.761359011346616,-0.342659198133099,0.345795660476397,-0.0857819193901006,0.0226832943809655,0.457144224629655,0.627892303376816
"exclusion_dem",0.0286109397377764,0.332489331811431,0.245709447479258,0.241710563193295,1,0.68334955991621,0.0510196271604722,0.118259984749266,0.40070116135387,0.00101957422455988,-0.0158749220869226,0.27664550088165
"exclusion_rep",-0.0937879844558058,0.588516754451595,0.491570012385577,0.761359011346616,0.68334955991621,1,-0.236906173044408,0.425178911572987,0.288804869929681,-0.0448591396875026,0.324579035756294,0.697585935945004
"low_pride_dem",0.452554144299225,-0.0816560676156337,-0.170032494890301,-0.342659198133099,0.0510196271604722,-0.236906173044408,1,-0.213976423314262,-0.12262498102423,0.692671435830397,-0.405624461947214,-0.128151716753628
"low_pride_rep",-0.0913004096044912,0.545698489358987,0.601164127945423,0.345795660476397,0.118259984749266,0.425178911572987,-0.213976423314262,1,0.654730757754771,-0.150658205767103,0.354661816851412,0.232394980676533
"high_pride_dem",-0.137286159628015,0.289054684501609,0.488665866058079,-0.0857819193901006,0.40070116135387,0.288804869929681,-0.12262498102423,0.654730757754771,1,-0.128328093762608,-0.0274241561084053,0.179993121896894
"high_pride_rep",0.205519250853682,-0.299475931514271,0.0743097323405124,0.0226832943809655,0.00101957422455988,-0.0448591396875026,0.692671435830397,-0.150658205767103,-0.128328093762608,1,-0.0408676568437089,0.138365441460741
"auth_dem",0.202463430625451,0.19813080176965,0.122897197876101,0.457144224629655,-0.0158749220869226,0.324579035756294,-0.405624461947214,0.354661816851412,-0.0274241561084053,-0.0408676568437089,1,0.602406572113417
"auth_rep",-0.0454121782845006,0.419670849274475,0.44272954187818,0.627892303376816,0.27664550088165,0.697585935945004,-0.128151716753628,0.232394980676533,0.179993121896894,0.138365441460741,0.602406572113417,1
