"","populism_dem","populism_rep","inclusion_dem","inclusion_rep","exclusion_dem","exclusion_rep","low_pride_dem","low_pride_rep","high_pride_dem","high_pride_rep","auth_dem","auth_rep"
"populism_dem",1,0.0670566454736007,-0.4474805874762,0.145178998756574,0.0153024639059948,-0.186779190284022,0.498256679034131,-0.0511240553412991,-0.364791645839499,0.17016538692298,0.0573228002015165,-0.168088771509762
"populism_rep",0.0670566454736007,1,0.120381845926342,0.0254028251955642,0.166703175612447,0.661727377562966,-0.112881797669336,0.665523067932537,-0.029501008859138,-0.57437849079951,-0.107447709554043,0.199299062468382
"inclusion_dem",-0.4474805874762,0.120381845926342,1,0.303997487601155,0.185490661852685,0.529904052680492,-0.138349355341515,0.391364149510832,0.157321121555244,0.0469759265412735,0.11101680359136,0.306544389104606
"inclusion_rep",0.145178998756574,0.0254028251955642,0.303997487601155,1,-0.208845423080422,0.316029173757993,-0.456776872597433,0.096620762369447,-0.226516137971514,0.0667562501822366,0.563578516782607,0.131187229136514
"exclusion_dem",0.0153024639059948,0.166703175612447,0.185490661852685,-0.208845423080422,1,0.433068464682632,0.11105243065775,0.0549443929415767,0.0456731558478599,-0.359591925807294,-0.236371621057836,0.0272748461322776
"exclusion_rep",-0.186779190284022,0.661727377562966,0.529904052680492,0.316029173757993,0.433068464682632,1,-0.268232986848131,0.536886582913545,-0.0727352348542902,-0.44344311684018,-0.00325129063135405,0.455519901591989
"low_pride_dem",0.498256679034131,-0.112881797669336,-0.138349355341515,-0.456776872597433,0.11105243065775,-0.268232986848131,1,-0.250450891646315,-0.240517214292448,0.560977363182234,-0.305613524201968,-0.150768541676335
"low_pride_rep",-0.0511240553412991,0.665523067932537,0.391364149510832,0.096620762369447,0.0549443929415767,0.536886582913545,-0.250450891646315,1,0.432186686131461,-0.537441895324408,-0.107305089485393,0.0406937181494876
"high_pride_dem",-0.364791645839499,-0.029501008859138,0.157321121555244,-0.226516137971514,0.0456731558478599,-0.0727352348542902,-0.240517214292448,0.432186686131461,1,-0.347023311525345,-0.221282863300892,-0.0593568962724171
"high_pride_rep",0.17016538692298,-0.57437849079951,0.0469759265412735,0.0667562501822366,-0.359591925807294,-0.44344311684018,0.560977363182234,-0.537441895324408,-0.347023311525345,1,0.128571954956478,-0.0724659165495546
"auth_dem",0.0573228002015165,-0.107447709554043,0.11101680359136,0.563578516782607,-0.236371621057836,-0.00325129063135405,-0.305613524201968,-0.107305089485393,-0.221282863300892,0.128571954956478,1,0.334425173400358
"auth_rep",-0.168088771509762,0.199299062468382,0.306544389104606,0.131187229136514,0.0272748461322776,0.455519901591989,-0.150768541676335,0.0406937181494876,-0.0593568962724171,-0.0724659165495546,0.334425173400358,1
