"","populism","inclusion","exclusion","low_pride","high_pride","auth"
"populism",1,-0.0213549302784698,0.391080300061203,0.589890285290349,-0.392323591013824,0.077946112178148
"inclusion",-0.0213549302784698,1,0.524969580926239,0.1305133283273,0.203867725300687,0.376207257925414
"exclusion",0.391080300061203,0.524969580926239,1,0.241417519360687,-0.461786162507028,0.404788733320808
"low_pride",0.589890285290349,0.1305133283273,0.241417519360687,1,0.232924204501208,-0.0720063506748986
"high_pride",-0.392323591013824,0.203867725300687,-0.461786162507028,0.232924204501208,1,-0.0462954746784575
"auth",0.077946112178148,0.376207257925414,0.404788733320808,-0.0720063506748986,-0.0462954746784575,1
