Speech_id
3005
2455
2874
2450
2487
3003
1402
2839
2781
2794
2838
2379
1103
2397
3076
2382
2802
2814
2987
2364
2836
2413
2016
2821
2388
2808
2834
2820
2458
2505
2507
2710
2512
2012-10-29-and-exchange-with
2012-09-20-question-and-answer
2004-09-10-discussion-portsmouth-ohio
2004-09-04-broadview-heights-ohio
2004-10-04-discussion-clive-iowa
2004-11-02-reporters-columbus-ohio
2004-11-02-reporters-crawford-texas
2004-09-21-and-exchange-with
2004-09-20-derry-new-hampshire
2004-09-07-discussion-sedalia-missouri
2012-09-25-new-york-city
2020-09-17-field-moosic-pennsylvania
2012-10-10-mount-vernon-ohio
2078
2118
2280
2080
2226
2757
2435
2347
1300
1314
2999
2807
2813
2744
2745
2223
2168
2005
2038
2004
2776
2172
2006
2215
2759
2002
2176
2000
1545
2070
