/documents/address-accepting-the-presidential-nomination-the-democratic-national-convention-los,Address Accepting the Presidential Nomination at the Democratic National Convention in Los Angeles,2000-08-17
/documents/remarks-chevy-chase-maryland,"Remarks in Chevy Chase, Maryland",2000-09-29
/documents/remarks-muskegon-michigan,"Remarks in Muskegon, Michigan",2000-10-30
/documents/remarks-kissimmee-florida,"Remarks in Kissimmee, Florida",2000-11-01
